Book Name,Author,Rating,Number of Reviews,Price,Description,Listening Time,Ranks and Genre,Book Name_clean,Language,Genres,Ranks,Best rank
13 steps to bloody good luck,ashwin sanghi,4.2,686.0,501.0,the journey of life isnt exactly easy. some people make it through hard work and talent. some fall by the wayside. and some people are just plain lucky. they are blessed with bloody good luck! but is it possible to attract good luck? can we train ourselves to be lucky? apparently it seems that dame luck isnt that fickle. she is well within our reach.,0,#949 not available,13 steps to bloody good luck,english,not available,949.0,949.0
13 steps to bloody good wealth,ashwin sanghi,4.3,319.0,501.0,the only way to become wealthy is by being born wealthy. right? wrong!,260,",#3,141 in audible audiobooks & originals (see top 100 in audible audiobooks & originals),#29 in indian literature (audible audiobooks & originals),#101 in personal finance,#437 in personal success",13 steps to bloody good wealth,english,"audible audiobooks & originals,indian literature,personal finance,personal success","[141, 29, 101, 437]",29.0
"13 things mentally strong parents dont do: raising self-assured children and training their brains for a life of happiness, meaning, and success",amy morin,4.6,150.0,12356.0,"13 things mentally strong parents dont do raising self-assured children and training their brains for a life of happiness, meaning, and successbyamy morin-genre:rownone",0,#949 not available,"13 things mentally strong parents dont do raising self-assured children and training their brains for a life of happiness, meaning, and success",english,not available,949.0,949.0
"13 things mentally strong people dont do: take back your power, embrace change, face your fears, and train your brain for happiness and success",amy morin,4.6,1365.0,10378.0,"everyone knows that regular exercise and weight training lead to physical strength. but how do we strengthen ourselves mentally for the truly tough times? and what should we do when we face these challenges? or as psychotherapist amy morin asks, what should we avoid when we encounter adversity? through her years counseling others and her own experiences navigating personal loss, morin realized it is often the habits we cannot break that are holding us back from true success and happiness. indulging in self-pity or agonizing over things beyond our control, obsessing over past events, resenting the achievements of others, or expecting immediate positive results all hold us back.",396,",#1,977 in audible audiobooks & originals (see top 100 in audible audiobooks & originals),#59 in business motivation & self-improvement,#291 in personal success,#3,126 in analysis & strategy","13 things mentally strong people dont do take back your power, embrace change, face your fears, and train your brain for happiness and success",english,"audible audiobooks & originals,business motivation & self-improvement,personal success,analysis & strategy","[977, 59, 291, 126]",59.0
14,peter clines,4.3,811.0,836.0,14bypeter clines-genre:rownone,0,#949 not available,14,english,not available,949.0,949.0
"15 secrets successful people know about time management: the productivity habits of 7 billionaires, 13 olympic athletes, 29 straight-a students, and 239 entrepreneurs",kevin kruse,4.5,465.0,501.0,"new york times best-selling author kevin kruse presents the remarkable findings of his study of ultraproductive people. based on survey research and interviews with billionaires, olympic athletes, straight-a students, and over 200 entrepreneurs - including mark cuban, kevin harrington, james altucher, john lee dumas, pat flynn, grant cardone, and lewis howes - kruse answers the question: what are the secrets to extreme productivity?",190,",#4,691 in audible audiobooks & originals (see top 100 in audible audiobooks & originals),#51 in time management & productivity,#132 in business careers,#610 in personal success","15 secrets successful people know about time management the productivity habits of 7 billionaires, 13 olympic athletes, 29 straight-a students, and 239 entrepreneurs",english,"audible audiobooks & originals,time management & productivity,business careers,personal success","[691, 51, 132, 610]",51.0
168 hours: you have more time than you think,laura vanderkam,4.3,196.0,844.0,"there are 168 hours in a week. this book is about where the time really goes, and how we can all use it better. its an unquestioned truth of modern life: we are starved for time. with the rise of two-income families, extreme jobs, and 24/7 connectivity, life is so frenzied we can barely find time to breathe. we tell ourselves wed like to read more, get to the gym regularly, try new hobbies, and accomplish all kinds of goals. but then we give up because there just arent enough hours to do it all. or else, if we dont make excuses, we make sacrifices. to get ahead at work we spend less time with our spouses. to carve out more family time, we put off getting in shape. to train for a marathon, we cut back on sleep. there has to be a better way - and laura vanderkam has found one.",468,",#348 in audible audiobooks & originals (see top 100 in audible audiobooks & originals),#4 in time management,#10 in time management & productivity,#73 in personal success",168 hours you have more time than you think,english,"audible audiobooks & originals,time management,time management & productivity,personal success","[348, 4, 10, 73]",4.0
1962: the war that wasnt: the definitive account of the clash between india and china,shiv kunal verma,4.3,172.0,1171.0,"oops! its rush hour and traffic is piling up on that page. please try again in a short while.if you were trying to place an order, it will not have been processed at this time. go to the amazon.in home page to continue shopping",0,#949 not available,1962 the war that wasnt the definitive account of the clash between india and china,english,not available,949.0,949.0
1984,george orwell,4.5,17140.0,797.0,"george orwells nightmare vision of a dystopian world has become more apt in these modern, chaotic times. casting a pall of oppressive dread from the very first sentence, this classic audiobook takes hold of your imagination and stays with you long after the last four words are uttered.",739,",#130 in audible audiobooks & originals (see top 100 in audible audiobooks & originals),#1 in dystopian science fiction,#1 in political fiction,#4 in literary fiction",1984,english,"audible audiobooks & originals,dystopian science fiction,political fiction,literary fiction","[130, 1, 1, 4]",1.0
1991: how p. v. narasimha rao made history,sanjaya baru,4.2,182.0,668.0,"p. v. narasimha rao (or pv, as he was popularly known) has been widely praised for enabling the economic reforms that transformed the country in 1991. from the vantage point of his long personal and professional association with the former prime minister, best-selling author sanjaya baru shows how pvs impact on the nations fortunes went way beyond the economy.",325,",#803 in audible audiobooks & originals (see top 100 in audible audiobooks & originals),#3 in biographies of presidents & heads of state,#4 in economic history (audible audiobooks & originals),#5 in biographies of politicians",1991 how p. v. narasimha rao made history,english,"audible audiobooks & originals,biographies of presidents & heads of state,economic history,biographies of politicians","[803, 3, 4, 5]",3.0
1q84,haruki murakami,4.3,1437.0,1138.0,"oops! its rush hour and traffic is piling up on that page. please try again in a short while.if you were trying to place an order, it will not have been processed at this time. go to the amazon.in home page to continue shopping",0,#949 not available,1q84,english,not available,949.0,949.0
2 states: the story of my marriage,chetan bhagat,4.4,1077.0,568.0,love marriages around the world are simple: boy loves girl. girl loves boy. they get married.,503,",#2,907 in audible audiobooks & originals (see top 100 in audible audiobooks & originals),#27 in indian literature (audible audiobooks & originals),#176 in romance (audible audiobooks & originals),#1,056 in anthologies (books)",2 states the story of my marriage,english,"audible audiobooks & originals,indian literature,romance,anthologies","[907, 27, 176, 56]",27.0
2001: a space odyssey,arthur c. clarke,4.6,963.0,352.0,"this allegory about humanitys exploration of the universe, and the universes reaction to humanity, was the basis for director stanley kubricks immortal film, and lives on as a hallmark achievement in storytelling.",402,",#1,550 in audible audiobooks & originals (see top 100 in audible audiobooks & originals),#3 in hard science fiction,#6 in technothrillers,#7 in space opera science fiction",2001 a space odyssey,english,"audible audiobooks & originals,hard science fiction,technothrillers,space opera science fiction","[550, 3, 6, 7]",3.0
2019: how modi won india,rajdeep sardesai,2.5,317.0,836.0,"oops! its rush hour and traffic is piling up on that page. please try again in a short while.if you were trying to place an order, it will not have been processed at this time. go to the amazon.in home page to continue shopping",0,#949 not available,2019 how modi won india,english,not available,949.0,949.0
21 great ways to get paid more and promoted faster,brian tracy,4.4,16.0,468.0,"sorry, we just need to make sure youre not a robot. for best results, please make sure your browser is accepting cookies.",0,#949 not available,21 great ways to get paid more and promoted faster,english,not available,949.0,949.0
21 lessons for the 21st century,yuval noah harari,4.4,2836.0,1093.0,brought to you by penguin.,701,",#14 in audible audiobooks & originals (see top 100 in audible audiobooks & originals),#1 in political science history & theory,#1 in united states politics & government,#1 in political theory",21 lessons for the 21st century,english,"audible audiobooks & originals,political science history & theory,united states politics & government,political theory","[14, 1, 1, 1]",1.0
"21-day challenges box set 1 - self love, self confidence, & happiness",21 day challenges,4.8,6.0,501.0,"sorry, we just need to make sure youre not a robot. for best results, please make sure your browser is accepting cookies.",0,#949 not available,"21-day challenges box set 1 - self love, self confidence, & happiness",english,not available,949.0,949.0
25 hours a day: going one more to get what you want,nick bare,4.7,285.0,501.0,25 hours a day going one more to get what you wantbynick bare-genre:rownone,0,#949 not available,25 hours a day going one more to get what you want,english,not available,949.0,949.0
"26 marathons: what i learned about faith, identity, running, and life from my marathon career",meb keflezighi,4.8,115.0,879.0,"26 marathons what i learned about faith, identity, running, and life from my marathon careerbymeb keflezighi-genre:rownone",0,#949 not available,"26 marathons what i learned about faith, identity, running, and life from my marathon career",english,not available,949.0,949.0
2666,roberto bolaño,4.1,357.0,1406.0,"national book critics circle, fiction, 2009",2355,",#3,144 in audible audiobooks & originals (see top 100 in audible audiobooks & originals),#181 in literary fiction,#5,296 in crime, thriller & mystery (books),#6,054 in contemporary fiction (books)",2666,english,"audible audiobooks & originals,literary fiction,crime,contemporary fiction","[144, 181, 296, 54]",54.0
"27 essential principles of story: master the secrets of great storytelling, from shakespeare to south park",daniel joshua rubin,5.0,7.0,656.0,"27 essential principles of story master the secrets of great storytelling, from shakespeare to south parkbydaniel joshua rubin-genre:rownone",0,#949 not available,"27 essential principles of story master the secrets of great storytelling, from shakespeare to south park",english,not available,949.0,949.0
281 and beyond,vvs laxman,4.5,204.0,1003.0,"a stylish batsman who could score against any kind of bowling, vvs laxman played over a hundred tests to aggregate more than 8,000 runs. cricket fans still remember with awe his game-changing knock of 281 against australia in 2001 at eden gardens. but playing for india was never easy. he was dropped as often as he was picked, and despite his vast experience and unimpeachable skill, he never made it to a world cup team.",1049,",#2,481 in audible audiobooks & originals (see top 100 in audible audiobooks & originals),#4 in cricket (audible audiobooks & originals),#14 in sports biographies,#70 in cricket (books)",281 and beyond,english,"audible audiobooks & originals,cricket,sports biographies,cricket","[481, 4, 14, 70]",4.0
"30 days - change your habits, change your life: a couple of simple steps every day to create the life you want",marc reklau,4.4,444.0,340.0,have you ever asked yourself why some people seem to get everything easily and others dont?,252,",#4,442 in audible audiobooks & originals (see top 100 in audible audiobooks & originals),#48 in time management & productivity,#52 in self-esteem,#7,344 in analysis & strategy","30 days - change your habits, change your life a couple of simple steps every day to create the life you want",english,"audible audiobooks & originals,time management & productivity,self-esteem,analysis & strategy","[442, 48, 52, 344]",48.0
30 days to a more powerful vocabulary: the 500 words you need to know to transform your vocabulary...and your life,dan strutzel,3.7,14.0,656.0,a bigger vocabulary = a brighter future,468,",#439 in audible audiobooks & originals (see top 100 in audible audiobooks & originals),#3 in english language learning,#9 in communication & social skills,#18 in business careers",30 days to a more powerful vocabulary the 500 words you need to know to transform your vocabulary...and your life,english,"audible audiobooks & originals,english language learning,communication & social skills,business careers","[439, 3, 9, 18]",3.0
30 days to taming your tongue: what you say (and dont say) will improve your relationships,deborah smith peques,4.7,507.0,305.0,30 days to taming your tongue what you say (and dont say) will improve your relationshipsbydeborah smith peques-genre:rownone,0,#949 not available,30 days to taming your tongue what you say (and dont say) will improve your relationships,english,not available,949.0,949.0
30 lessons for living: tried and true advice from the wisest americans,karl pillemer ph.d.,4.4,248.0,820.0,30 lessons for living tried and true advice from the wisest americansbykarl pillemer ph.d.-genre:rownone,0,#949 not available,30 lessons for living tried and true advice from the wisest americans,english,not available,949.0,949.0
"30 women in power: their voices, their stories",naina lal kidwai,4.2,69.0,836.0,"30 women in power carries the inimitable voices of indian women who have been pioneers and led large organizations - in banking, law, the media, advertising, government services, health care, consulting, the fast-moving consumer goods sector and the not-for-profit space.",0,#949 not available,"30 women in power their voices, their stories",english,not available,949.0,949.0
3001: a novel,arthur c. clarke,4.1,357.0,879.0,3001 a novelbyarthur c. clarke-genre:rownone,0,#949 not available,3001 a novel,english,not available,949.0,949.0
33 strategies of war,robert greene,4.2,4.0,820.0,"33 strategies of war is a comprehensive guide to the subtle social game of everyday life, informed by the most ingenious and effective military principles in war. its the i-ching of conflict, the contemporary companion to sun tzus the art of war, and is abundantly illustrated with examples from history, including the folly and genius of everyone from napoleon to margaret thatcher, hannibal to ulysses s. grant, movie moguls to samurai swordsmen.",1650,",#718 in audible audiobooks & originals (see top 100 in audible audiobooks & originals),#14 in communication & social skills,#91 in personal success in business,#1,647 in business & economics",33 strategies of war,english,"audible audiobooks & originals,communication & social skills,personal success  business,business & economics","[718, 14, 91, 647]",14.0
365 jataka tales,om books international,4.0,37.0,668.0,"the 365 series presents a variety of stories from indian mythology, the bible, the jatakas, the panchatantra, bedtime stories, folklore, and much more. from powerful sages to wicked demons, from arrogant kings to beautiful goddesses, this series showcases the most enchanting and gripping stories from all over the world.",511,",#3,776 in audible audiobooks & originals (see top 100 in audible audiobooks & originals),#4 in literary criticism for children,#38 in fairy tales, folk tales & myths for children,#1,054 in children's traditional stories (books)",365 jataka tales,english,"audible audiobooks & originals,literary criticism for children,fairy tales,children's traditional stories","[776, 4, 38, 54]",4.0
